cluster_copied_decision_vars,compute_cost_estimation_s,constraints_init,constraints_solve,cost_estimation_s,decision_var_build_s,decision_var_overhead_s,edge_cost_estimation_s,extract_s,graph_nodes,ilp_construction_s,logical_decision_vars,max_strategies_per_node,mesh_ndim,mesh_shape,mesh_size,model_key,objective,objective_s,optimizer_pipeline_s,option_tuples,parameter_b,parameter_gib,parameter_nodes,parameter_numel,solve_s,status,strategy_enumeration_s,strategy_options,tensor_nodes,total_wall_s,unique_ilp_vars,validation_s
101888,0.4790569522883743,7038,7042,0.5384756466373801,0.6978608381468803,0.09741721651516855,0.05941869434900582,0.01627982617355883,4140,0.26339267240837216,114928,10,1,64,64,1B,75411.02054353141,0.053351440001279116,3.032338660908863,114928,1.2358144,4.603767395019531,146,1235814400,0.49132931185886264,Optimal,0.6722944700159132,18503,4139,8.946083615999669,13040,0.31402136106044054
194792,0.48607375379651785,8080,8084,0.5489266884978861,0.7471572819631547,0.1306607834994793,0.06285293470136821,0.029804171063005924,7200,0.3148333504796028,208698,10,1,64,64,3B,155857.5709074804,0.05978171294555068,4.169702837942168,208698,3.212749824,11.968425750732422,254,3212749824,0.5855939809698611,Optimal,0.5360530489124358,32969,7199,14.472710577072576,13906,0.03955800808034837
224240,0.49045672081410885,8372,8376,0.5536671618465334,1.1619730349630117,0.5399796243291348,0.06321044103242457,0.03362119919620454,8220,0.7288401401601732,238203,10,1,64,64,8B,213343.3574716149,0.05892709596082568,4.762722868937999,238203,8.030261248,29.915054321289062,291,8030261248,0.5859912640880793,Optimal,0.9387421838473529,37635,8219,16.452271425863728,13963,0.045778295025229454
596400,0.5983547926880419,12044,12048,0.6777467841748148,2.653722374001518,1.875488000921905,0.0793919914867729,0.2056352950166911,20460,2.2220516917295754,612283,10,1,64,64,70B,965500.0409067452,0.0730493909213692,20.028923405101523,612283,70.553706496,262.8330383300781,723,70553706496,1.5257919810246676,Optimal,3.3026473850477487,95379,20459,50.90600106609054,15883,0.1628595821093768
946046,0.4775047143921256,15494,15498,0.5445251299533993,2.283439102116972,1.6354041469749063,0.0670204155612737,0.17483325605280697,32190,2.005914915120229,963447,10,1,64,64,405B,3172012.7008089907,0.06962158717215061,29.85055986023508,963447,405.8533888,1511.9216918945312,1137,405853388800,2.56223003892228,Optimal,2.5583339028526098,150073,32189,77.86599416891113,17401,0.18959671608172357
3854214,1.9979437342844903,173186,173190,4.75627763918601,11.933482899097726,4.112962566781789,2.7583339049015194,0.03040059795603156,4140,10.42051934893243,4337060,82,2,8x8,64,1B,57041.81060181375,2.17517895414494,109.2090197771322,4337060,1.2358144,4.603767395019531,146,1235814400,80.18635749211535,Optimal,8.398531069047749,107753,4139,115.10326781589538,482846,0.024392321007326245
7135218,2.101260715862736,176564,176568,5.0140090675558895,14.759843383915722,6.347998866345733,2.9127483516931534,0.04800663981586695,7200,14.323183785192668,7623714,82,2,8x8,64,3B,122291.9385011857,2.4431078990455717,118.39831594773568,7623714,3.212749824,11.968425750732422,254,3212749824,78.84844117495231,Optimal,9.923545255092904,188315,7199,130.30269417585805,488496,0.053027451038360596
8216282,1.9884659524541348,177172,177176,4.743945160182193,13.453818985959515,5.6245344209019095,2.755479207728058,0.04394924081861973,8220,11.563520586816594,8703393,82,2,8x8,64,8B,178228.3264244111,3.2896198199596256,123.55457829684019,8703393,8.030261248,29.915054321289062,291,8030261248,86.02262015617453,Optimal,9.262494687922299,214965,8219,135.2341975120362,487111,0.0497884638607502
